Time,Time Code,Version Name,Version Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",GDP (current US$) [NY.GDP.MKTP.CD],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]"
2000,YR2000,2015 Oct,201510,Low income,LIC,425992699,109610006313.596,225.819855966324,821.079366672026
2000,YR2000,2015 Oct,201510,Middle income,MIC,4406377398,5156372173240.96,1124.16842321603,3626.96306678375
2000,YR2000,2015 Oct,201510,High income,HIC,1283598773,28009548735199,21932.7898981322,24514.4325884911
2000,YR2000,2015 Oct,201510,World,WLD,6115968870,33276211761396.4,5429.71409576011,7806.91523186912
2000,YR2000,2015 Oct,201510,Afghanistan,AFG,19701940,..,..,..
2000,YR2000,2015 Oct,201510,Albania,ALB,3089027,3686649386.83962,1170,4370
2000,YR2000,2015 Oct,201510,Algeria,DZA,31183658,54790058957.3718,1570,7580
2000,YR2000,2015 Oct,201510,American Samoa,ASM,57522,..,..,..
2000,YR2000,2015 Oct,201510,Andorra,AND,65399,1401694155.6973,19930,..
2000,YR2000,2015 Oct,201510,Angola,AGO,15058638,9129594815.57661,390,2030
2000,YR2000,2015 Oct,201510,Antigua and Barbuda,ATG,77648,783837838.008776,8620,14440
2000,YR2000,2015 Oct,201510,Arab League states,ARB,281355774,730788530702.385,2366.89129752947,8860.35704612206
2000,YR2000,2015 Oct,201510,Argentina,ARG,37057453,284203750000,7440,..
2000,YR2000,2015 Oct,201510,Armenia,ARM,3076098,1911563665.39006,660,2380
2000,YR2000,2015 Oct,201510,Aruba,ABW,90858,1873452513.96648,..,..
2000,YR2000,2015 Oct,201510,Australia,AUS,19153000,414987125541.669,21110,25570
2000,YR2000,2015 Oct,201510,Austria,AUT,8011566,196421687857.011,26690,29270
2000,YR2000,2015 Oct,201510,Azerbaijan,AZE,8048600,5272617196.04517,610,3340
2000,YR2000,2015 Oct,201510,"Bahamas, The",BHS,297891,6327552000,20330,20130
2000,YR2000,2015 Oct,201510,Bahrain,BHR,666855,9063147956.06266,10900,34910
2000,YR2000,2015 Oct,201510,Bangladesh,BGD,131280739,53369787318.6245,420,1350
2000,YR2000,2015 Oct,201510,Barbados,BRB,269838,3119500000,11000,11170
2000,YR2000,2015 Oct,201510,Belarus,BLR,10005000,12736856485.1068,1380,5760
2000,YR2000,2015 Oct,201510,Belgium,BEL,10251250,237336465819.053,25980,28940
2000,YR2000,2015 Oct,201510,Belize,BLZ,247312,831750000,3150,5170
2000,YR2000,2015 Oct,201510,Benin,BEN,6949366,2359122302.6985,360,1200
2000,YR2000,2015 Oct,201510,Bermuda,BMU,61833,3480219000,..,..
2000,YR2000,2015 Oct,201510,Bhutan,BTN,564187,439158233.199822,780,2850
2000,YR2000,2015 Oct,201510,Bolivia,BOL,8339512,8397858184.79382,990,3400
2000,YR2000,2015 Oct,201510,Bosnia and Herzegovina,BIH,3792878,5505984455.95855,1470,4870
2000,YR2000,2015 Oct,201510,Botswana,BWA,1736579,5788311649.03105,3000,7710
2000,YR2000,2015 Oct,201510,Brazil,BRA,175786441,657216179283.957,3850,8600
2000,YR2000,2015 Oct,201510,British Virgin Islands,VGB,..,..,..,..
2000,YR2000,2015 Oct,201510,Brunei,BRN,330554,6001153306.2645,14800,59250
2000,YR2000,2015 Oct,201510,Bulgaria,BGR,8170172,13353530538.0878,1680,6290
2000,YR2000,2015 Oct,201510,Burkina Faso,BFA,11607944,2632700362.73684,250,820
2000,YR2000,2015 Oct,201510,Burundi,BDI,6767073,870486065.883137,130,570
2000,YR2000,2015 Oct,201510,Cambodia,KHM,12197905,3654031716.26881,300,1050
2000,YR2000,2015 Oct,201510,Cameroon,CMR,15927713,9287367568.80529,600,1780
2000,YR2000,2015 Oct,201510,Canada,CAN,30769700,739455928893.677,22530,28310
2000,YR2000,2015 Oct,201510,Cape Verde,CPV,438737,539227052.856676,1370,2940
2000,YR2000,2015 Oct,201510,Caribbean small states,CSS,6454716,32283550905.8896,4302.05184031674,7771.20411967052
2000,YR2000,2015 Oct,201510,Cayman Islands,CYM,41685,..,..,..
2000,YR2000,2015 Oct,201510,Central African Republic,CAF,3726048,914500331.983723,250,650
2000,YR2000,2015 Oct,201510,Central Europe and the Baltics,CEB,108405522,430738958722.889,4130.80890893877,9997.02311554812
2000,YR2000,2015 Oct,201510,Chad,TCD,8343321,1385058161.76746,180,780
2000,YR2000,2015 Oct,201510,Channel Islands,CHI,148725,6439703434.71024,42430,..
2000,YR2000,2015 Oct,201510,Chile,CHL,15170387,79328640263.7897,5020,9490
2000,YR2000,2015 Oct,201510,China,CHN,1262645000,1205260617243.74,930,2880
2000,YR2000,2015 Oct,201510,China and India,CNI,..,..,..,..
2000,YR2000,2015 Oct,201510,Colombia,COL,40403959,99886577575.5444,2320,6440
2000,YR2000,2015 Oct,201510,Comoros,COM,547696,201899883.626713,390,1070
2000,YR2000,2015 Oct,201510,Congo,COG,3109269,3219910666.03357,570,2600
2000,YR2000,2015 Oct,201510,"Congo, Dem. Rep.",COD,48048664,19088046305.7971,130,400
2000,YR2000,2015 Oct,201510,Costa Rica,CRI,3925450,15946443103.2804,3710,6990
2000,YR2000,2015 Oct,201510,Cote d'Ivoire,CIV,16517948,10717022847.5783,640,2140
2000,YR2000,2015 Oct,201510,Croatia,HRV,4426000,21774273832.1031,5290,10850
2000,YR2000,2015 Oct,201510,Cuba,CUB,11116787,30565200000,2620,8770
2000,YR2000,2015 Oct,201510,Curacao,CUW,133860,..,..,..
2000,YR2000,2015 Oct,201510,Cyprus,CYP,943287,9929632422.24317,14070,18940
2000,YR2000,2015 Oct,201510,Czech Republic,CZE,10255063,61474265134.5364,6320,15990
2000,YR2000,2015 Oct,201510,Czechoslovakia,CSK,..,..,..,..
2000,YR2000,2015 Oct,201510,Dem. People's Rep. Korea,PRK,22840218,..,..,..
2000,YR2000,2015 Oct,201510,Denmark,DNK,5339616,164158800460.219,32660,28960
2000,YR2000,2015 Oct,201510,Djibouti,DJI,722562,551230861.856505,760,1700
2000,YR2000,2015 Oct,201510,Dominica,DMA,69679,335845808.883564,3600,5660
2000,YR2000,2015 Oct,201510,Dominican Republic,DOM,8562623,23996656675.8335,2630,6100
2000,YR2000,2015 Oct,201510,Early-demographic dividend,EAR,..,..,..,..
2000,YR2000,2015 Oct,201510,East Asia & Pacific,EAP,1814543356,1730214944146.67,910.355322835069,3190.6039039274
2000,YR2000,2015 Oct,201510,East Asia & Pacific (all income levels),EAS,2045719317,8120165619567.21,3755.78641948755,5571.15551007659
2000,YR2000,2015 Oct,201510,East Asia & Pacific (IDA & IBRD),TEA,..,..,..,..
2000,YR2000,2015 Oct,201510,East Asia and the Pacific (IFC classification),CEA,..,..,..,..
2000,YR2000,2015 Oct,201510,EASTERN EUROPE,EER,..,..,..,..
2000,YR2000,2015 Oct,201510,Ecuador,ECU,12628596,18327386415.9524,1540,5400
