Country Name;Country Code;Indicator Name;Indicator Code;Attribute;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;Common Reference Period;
Lithuania;946;Furnishings, household equipment and routine household maintenance;PCPIHO_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.976649170966;69.0030070014814;85.7062656174824;99.2369010978353;103.518725880617;104.963233519634;104.953727110999;102.773526389504;100.39878208216;98.2555453658152;95.3907545402422;92.3507063960841;90.4140933212324;90.9193404421007;92.8282868116185;97.4368441246888;99.3834702949303;96.5117708356708;96.3350738832906;97.790897526495;98.8627652067213;98.6914085718822;99.9999391797708;100.946711530123;102.2104;102.755408333333;2015A;
Lithuania;946;Furnishings, household equipment and routine household maintenance;PCPIHO_IX;Reference Period;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;;
Lithuania;946;Health, Percentage change, Previous year;PCPIM_PC_CP_A_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167.296531766961;19.9074424213171;11.5705844166889;7.93988431155274;2.029128531776;-2.21199801937312;-3.3409557266154;-1.65543486419018;1.05341060102417;4.19219078901218;8.41038332169709;7.99475278056968;6.64723929429763;7.09510555025246;11.1399550572097;17.5954628374139;1.15921728723495;0.823658401971535;2.07381072463322;1.79522735084815;1.3199987813658;2.9518125921205;2.93844194836753;1.08808266033086;1.66505499504085;;
Lithuania;946;Restaurants and hotels, Percentage change, Previous year;PCPIRE_PC_CP_A_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.477779355388;37.4334349647477;11.6677110645713;11.8075749725879;5.5775855901469;2.42486114041372;-0.0355605338889413;1.74610241360552;1.39669416732111;0.343787091088968;1.68566649897047;3.37574163956751;4.20625943632956;9.1750624740101;16.0891609239927;7.05365838020714;-0.733833469410676;2.12970017747499;3.67739123857467;2.48240865438799;2.91352053258303;4.73345462723915;5.67639334023541;7.61950969713948;6.38410869710969;;
Lithuania;946;Housing, Water, Electricity, Gas and Other Fuels, Percentage change, Previous period;PCPIH_PC_PP_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125.356456360769;61.8142987160751;26.5166840848603;17.1962855905438;15.9901828253056;6.09480025957799;12.3176544420068;2.22167014613137;2.73472886109129;0.308824826995083;0.650758331594514;4.96286136205394;6.84452686533433;11.487768745589;19.2634216518295;11.5507663927256;4.73159909442076;8.25861666666666;6.17215688912831;0.543455052581191;-0.8614404327025;-4.7741853644174;-2.02907366828434;1.1062551458088;4.08208660397183;;
France;132;Miscellaneous goods and services;PCPIO_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60.7508333333333;62.6666666666667;64.4725;66.0125;67.1116666666667;67.7966666666667;69.0408333333333;69.8983333333333;70.5325;70.655;71.7383333333333;73.4366666666667;75.3958333333333;77.2933333333333;79.3408333333333;80.8891666666667;83.3341666666667;85.1491666666667;86.9133333333333;89.25;91.5375;93.8666666666667;96.3041666666667;97.8216666666667;98.8116666666667;100;101.045833333333;102.15;103.305833333333;2015A;
France;132;Miscellaneous goods and services;PCPIO_IX;Reference Period;;;;;;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;2015A;;
Lithuania;946;Recreation and culture, Percentage change, Previous year;PCPIR_PC_CP_A_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;126.205917898387;43.3127798903448;16.7048360013323;4.98368220867449;2.74395802001231;1.75319382400433;-1.62325835446273;-1.42618137262937;-0.693228007764148;-2.61531829861494;-2.68685401878732;-0.600207881330084;1.29016893044175;0.0912618231841627;1.45207896128199;1.37676594383546;-2.11296523672186;-1.4956751246396;0.789973840401922;1.08537114262446;0.430533162802885;2.9419952299522;5.49190327151634;3.00110397421626;2.66460811692471;;
Lithuania;946;Education, Percentage change, Previous period;PCPIED_PC_PP_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94.5611889515569;31.9651463082335;30.3911069254619;17.4408726979498;11.0822254452233;5.20242379417091;10.5047522496227;5.87686739264783;-0.742061715706706;-3.35616808045828;0.741517822287553;-0.533324732044068;-0.732406184067744;4.91298601998338;8.84766492669173;10.688745813352;7.68286818368509;0.518575043214591;3.11386917906046;3.6422993399974;1.09423325205865;2.27057294522237;3.62427189827466;2.42749407488396;3.00302910321163;;
Lithuania;946;Communication;PCPIEC_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.0536413910486;26.5415587222895;42.7588184280036;56.9292293624447;73.6528866264815;96.8055192355556;111.946286511001;130.607475506381;147.143016241862;159.120264461982;158.292267897661;141.399129582195;137.538894243376;135.477403311504;128.685956191308;124.977339642493;123.692832613816;117.450486091178;113.861316686718;111.640210544247;106.477556977624;99.7431614310466;99.999966918885;96.1808001000366;95.6372666666667;94.5697666666667;2015A;
